temperature,vibration,machine_age,error_count,failure
81.97,0.61,5,3,1
86.82,3.55,15,8,1
71.1,0.63,4,3,0
51.33,1.39,11,8,1
72.46,1.75,14,0,0
57.98,2.4,5,2,0
88.17,0.96,7,1,0
67.2,1.69,1,7,0
98.66,2.2,9,4,0
80.93,4.38,10,3,1
52.29,1.53,5,1,0
93.32,2.21,8,10,0
58.13,2.1,11,4,0
84.18,0.82,11,2,0
62.24,2.58,5,10,0
60.98,1.96,13,0,1
51.61,1.92,5,1,0
97.15,4.44,6,3,0
69.78,4.62,8,2,1
62.33,3.03,5,9,1
79.18,2.13,3,8,0
87.79,4.37,3,10,1
84.02,3.18,7,6,1
73.4,1.63,9,0,0
55.73,4.48,13,4,1
67.01,1.82,3,7,1
86.1,3.74,9,2,1
55.32,3.31,14,10,1
59.95,2.18,3,8,0
96.12,4.63,10,5,1
55.59,2.13,14,4,1
62.04,3.05,2,1,0
90.8,4.9,9,2,1
73.76,2.97,5,8,0
71.16,1.45,9,3,0
69.95,3.52,6,7,0
72.57,1.62,2,5,1
77.7,3.15,1,1,0
52.94,0.8,1,5,1
61.9,3.51,4,8,1
96.78,3.07,8,3,0
90.37,1.36,2,10,1
71.18,2.6,12,0,0
99.21,0.94,7,5,0
55.46,1.36,9,7,1
59.17,2.58,14,1,0
93.07,2.98,1,10,0
91.8,4.86,15,3,1
74.28,1.46,7,0,0
50.11,2.26,15,7,1
84.83,3.79,13,8,1
74.33,1.35,4,0,0
77.11,3.87,1,0,0
75.14,4.34,3,0,0
54.01,1.34,10,1,0
61.76,1.04,15,9,1
79.73,3.29,7,10,1
76.14,4.71,4,10,0
61.93,2.28,11,10,1
65.81,3.88,2,0,0
99.92,4.98,2,8,1
63.26,4.7,15,1,0
68.48,1.21,14,8,0
80.58,4.94,11,8,1
90.86,1.85,11,1,0
56.71,1.02,2,8,1
64.09,1.45,6,3,0
92.65,2.77,5,0,1
71.18,1.75,1,5,0
81.86,1.68,12,7,1
71.38,0.54,2,2,0
91.73,3.12,3,6,1
65.41,4.55,13,0,0
60.5,1.62,2,5,0
94.21,2.33,10,2,0
61.84,1.23,13,2,0
51.24,3.81,6,6,0
93.2,4.15,5,2,0
55.4,4.42,14,7,1
90.83,2.57,5,3,1
83.0,2.29,5,1,0
63.96,3.39,7,10,0
76.81,4.73,2,4,1
98.13,1.69,2,9,1
86.43,1.91,10,8,1
94.98,1.36,1,6,1
96.28,2.92,12,10,1
71.56,4.77,15,5,1
83.17,1.06,15,4,1
83.34,1.97,12,4,1
59.59,3.49,7,10,0
58.7,3.06,7,8,0
65.19,1.45,13,9,0
66.11,2.49,11,3,0
89.69,4.82,12,2,1
64.19,3.49,10,5,1
97.6,1.56,5,3,0
57.37,0.71,8,9,0
53.64,2.36,11,9,1
84.82,2.72,4,2,0
50.28,3.88,13,1,0
60.94,4.12,12,8,1
77.87,4.63,2,7,1
73.23,2.89,9,9,1
87.76,2.49,14,8,1
95.34,2.51,3,7,1
87.59,4.28,5,8,1
61.96,2.48,12,4,1
66.79,4.52,2,2,1
69.15,1.19,4,1,0
66.54,2.6,1,3,0
69.47,3.96,12,0,0
88.28,2.21,1,5,1
69.5,4.51,14,6,1
86.73,4.1,15,3,1
63.65,2.69,7,5,0
89.91,3.76,14,7,1
99.04,2.9,15,6,1
83.15,0.88,7,2,0
59.09,1.67,6,3,0
66.88,4.46,5,6,1
54.1,0.59,9,0,0
67.5,3.43,13,10,1
51.55,1.61,14,0,0
61.93,2.63,2,9,0
73.25,1.65,6,2,0
98.19,3.73,13,2,0
55.4,0.62,5,9,0
97.91,2.28,12,3,1
84.53,3.32,2,4,1
80.02,1.04,10,0,1
71.42,2.17,9,10,1
92.48,4.2,2,6,0
81.78,4.23,12,2,1
86.69,4.84,5,9,1
76.91,2.68,7,9,1
92.59,4.24,2,4,0
62.19,2.59,10,10,1
51.43,4.33,3,7,1
89.89,2.03,15,9,1
63.81,0.55,4,1,0
70.32,3.0,4,7,0
74.54,4.07,2,4,1
84.59,1.88,10,5,1
76.55,2.41,12,8,1
85.14,1.72,5,3,1
59.63,1.04,9,2,1
86.93,1.74,10,8,1
99.03,4.25,5,3,1
65.11,3.69,3,4,1
52.73,1.81,3,10,0
74.54,4.43,10,4,1
72.02,1.33,1,4,0
73.89,4.2,7,7,1
81.47,0.74,3,9,0
54.26,1.62,9,6,0
89.54,1.52,9,6,1
72.14,4.37,7,4,1
53.01,4.82,2,3,0
63.23,0.87,4,2,0
57.83,2.34,12,9,1
51.63,1.8,5,7,1
61.67,1.69,13,10,0
90.2,1.39,2,8,1
57.45,1.7,3,1,0
89.63,3.18,14,9,1
71.96,2.61,5,6,0
75.02,2.72,2,9,1
71.6,1.95,5,0,0
98.1,4.26,10,9,0
99.98,3.53,5,9,1
87.81,2.62,11,7,0
59.07,3.13,11,7,0
73.5,2.34,6,10,1
58.04,2.35,8,4,0
70.02,3.92,1,7,1
62.62,1.02,13,6,0
91.25,0.51,14,8,1
52.71,2.83,10,7,0
88.0,1.42,9,2,0
71.91,3.64,2,0,0
80.44,1.58,3,4,1
77.61,0.92,14,1,0
55.87,4.24,8,4,1
63.67,4.26,8,3,0
57.23,1.36,10,8,0
56.83,0.81,13,6,1
89.39,1.7,1,4,0
91.87,3.11,11,7,1
72.33,2.68,6,8,0
68.86,4.7,14,3,0
61.94,2.22,14,6,1
87.24,3.67,13,6,1
83.18,4.19,3,7,0
56.31,4.84,6,1,0
